CampaignID,Accepted,Rejected,TotalLeads,IORate,Scrub,IOMaxScrub,Payout,Revenue,RevPerPost,Profit
19106,474,0,474,$28.00 ,0.00%,0.00%,"$2,326.80 ","$13,272.00 ",$28.00 ,"$10,945.20 "
22071,231,0,231,$31.00 ,0.00%,0.00%,$0.00 ,"$7,161.00 ",$31.00 ,"$7,161.00 "
22070,221,0,221,$31.00 ,0.00%,0.00%,$0.00 ,"$6,851.00 ",$31.00 ,"$6,851.00 "
22079,148,0,148,$35.00 ,0.00%,0.00%,$0.00 ,"$5,180.00 ",$35.00 ,"$5,180.00 "
22068,121,0,121,$40.00 ,0.00%,0.00%,$0.00 ,"$4,840.00 ",$40.00 ,"$4,840.00 "
22078,137,0,137,$35.00 ,0.00%,0.00%,$0.00 ,"$4,795.00 ",$35.00 ,"$4,795.00 "
22069,107,0,107,$35.00 ,0.00%,0.00%,$0.00 ,"$3,745.00 ",$35.00 ,"$3,745.00 "
18913,169,0,169,$18.75 ,0.00%,0.00%,$626.38 ,"$3,168.75 ",$18.75 ,"$2,542.37 "
22235,62,0,62,$33.00 ,0.00%,0.00%,$0.00 ,"$2,046.00 ",$33.00 ,"$2,046.00 "
21011,106,0,106,$15.00 ,0.00%,0.00%,$0.00 ,"$1,590.00 ",$15.00 ,"$1,590.00 "
8858,"4,425",0,"4,425",$0.35 ,0.00%,0.00%,$214.20 ,"$1,548.75 ",$0.35 ,"$1,334.55 "
22242,149,0,149,$10.00 ,0.00%,0.00%,$780.00 ,"$1,490.00 ",$10.00 ,$710.00 
21013,116,0,116,$12.50 ,0.00%,0.00%,$20.00 ,"$1,450.00 ",$12.50 ,"$1,430.00 "
21007,118,0,118,$12.00 ,0.00%,0.00%,$24.00 ,"$1,416.00 ",$12.00 ,"$1,392.00 "
9861,"2,093","1,154","3,247",$0.85 ,21.00%,21.00%,$0.00 ,"$1,400.04 ",$0.43 ,"$1,400.04 "
18108,128,0,128,$10.00 ,-2.70%,0.00%,$920.32 ,"$1,314.56 ",$10.27 ,$394.24 
15913,"1,809",450,"2,259",$1.50 ,5.00%,15.00%,$4.50 ,"$1,262.24 ",$0.56 ,"$1,257.74 "
22156,177,0,177,$6.50 ,0.00%,0.00%,$538.20 ,"$1,150.50 ",$6.50 ,$612.30 
18591,94,0,94,$12.00 ,0.00%,0.00%,$120.00 ,"$1,128.00 ",$12.00 ,"$1,008.00 "
19437,318,0,318,$3.50 ,0.00%,0.00%,$511.84 ,"$1,113.00 ",$3.50 ,$601.16 
18588,106,0,106,$10.50 ,0.00%,0.00%,$51.45 ,"$1,113.00 ",$10.50 ,"$1,061.55 "
18586,68,0,68,$15.75 ,0.00%,0.00%,$47.25 ,"$1,071.00 ",$15.75 ,"$1,023.75 "
22245,96,0,96,$11.00 ,0.00%,0.00%,$440.00 ,"$1,056.00 ",$11.00 ,$616.00 
21796,34,0,34,$31.00 ,0.00%,0.00%,$0.00 ,"$1,054.00 ",$31.00 ,"$1,054.00 "
22159,42,0,42,$25.00 ,0.00%,0.00%,$212.50 ,"$1,050.00 ",$25.00 ,$837.50 
22201,173,0,173,$6.00 ,0.00%,0.00%,$156.30 ,"$1,038.00 ",$6.00 ,$881.70 
22296,133,0,133,$7.50 ,0.00%,0.00%,$360.79 ,$997.50 ,$7.50 ,$636.71 
22238,30,0,30,$33.00 ,0.00%,0.00%,$0.00 ,$990.00 ,$33.00 ,$990.00 
16914,75,0,75,$13.00 ,0.00%,0.00%,$313.30 ,$975.00 ,$13.00 ,$661.70 
22243,138,0,138,$7.00 ,0.00%,0.00%,$286.30 ,$966.00 ,$7.00 ,$679.70 
19934,937,0,937,$1.07 ,5.00%,0.00%,$0.00 ,$955.74 ,$1.02 ,$955.74 
21444,96,0,96,$9.50 ,0.00%,0.00%,$37.05 ,$912.00 ,$9.50 ,$874.95 
18751,66,0,66,$13.75 ,0.00%,0.00%,$0.00 ,$907.50 ,$13.75 ,$907.50 
22298,99,0,99,$9.00 ,0.00%,0.00%,$204.30 ,$891.00 ,$9.00 ,$686.70 
22244,126,0,126,$7.00 ,0.00%,0.00%,$636.30 ,$882.00 ,$7.00 ,$245.70 
22220,26,0,26,$33.00 ,0.00%,0.00%,$33.00 ,$858.00 ,$33.00 ,$825.00 
14280,154,0,154,$5.50 ,0.00%,0.00%,$263.60 ,$847.00 ,$5.50 ,$583.40 
21797,27,0,27,$31.00 ,0.00%,0.00%,$0.00 ,$837.00 ,$31.00 ,$837.00 
19427,118,0,118,$7.00 ,0.00%,0.00%,$63.70 ,$826.00 ,$7.00 ,$762.30 
22240,86,0,86,$9.00 ,0.00%,0.00%,$549.90 ,$774.00 ,$9.00 ,$224.10 
21320,514,0,514,$1.50 ,0.00%,0.00%,$0.00 ,$771.00 ,$1.50 ,$771.00 
19707,92,0,92,$6.00 ,-34.00%,0.00%,$514.69 ,$734.16 ,$7.98 ,$219.47 
16971,166,0,166,$4.25 ,0.00%,0.00%,$226.85 ,$705.50 ,$4.25 ,$478.65 
22246,172,0,172,$4.00 ,0.00%,0.00%,$230.20 ,$688.00 ,$4.00 ,$457.80 
19426,104,0,104,$6.50 ,0.00%,0.00%,$473.20 ,$676.00 ,$6.50 ,$202.80 
13315,46,0,46,$12.50 ,-16.00%,0.00%,$56.00 ,$667.00 ,$14.50 ,$611.00 
22271,107,0,107,$6.00 ,0.00%,0.00%,$463.80 ,$642.00 ,$6.00 ,$178.20 
18670,69,0,69,$9.00 ,0.00%,0.00%,$434.70 ,$621.00 ,$9.00 ,$186.30 
17617,23,0,23,$27.00 ,0.00%,0.00%,$168.75 ,$621.00 ,$27.00 ,$452.25 
22223,20,0,20,$31.00 ,0.00%,0.00%,$0.00 ,$620.00 ,$31.00 ,$620.00 
